SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
000120.23-111104.2 1.4131 19.364 0.039 19.610 0.031 19.306 0.019 19.244 0.029 19.258 0.072  0.000 -9.000 -25.385
000123.96-102458.1 1.0575 18.524 0.027 18.435 0.021 18.223 0.014 18.290 0.016 18.214 0.031  0.000 -9.000 -25.663
000124.23-093349.8 1.6337 19.629 0.048 19.334 0.025 19.289 0.020 19.029 0.019 18.924 0.063  0.000 -9.000 -25.948
000125.14+000009.4 1.9737 19.969 0.050 19.823 0.020 19.662 0.024 19.412 0.028 19.224 0.074  0.000 -9.000 -25.985
000127.79-002756.0 1.3368 20.370 0.072 20.268 0.037 19.993 0.028 19.882 0.035 19.920 0.102  0.000 -9.000 -24.613
000131.42+144610.6 0.5304 19.281 0.026 19.010 0.024 19.062 0.014 18.869 0.020 18.841 0.046 -1.000 -9.000 -23.410
000132.83+145608.0 0.3989 19.223 0.026 19.197 0.024 19.249 0.015 19.038 0.020 18.393 0.035 -1.000 -1.412 -22.550
000135.51-004206.7 3.5779 23.681 1.152 20.453 0.041 19.488 0.036 19.376 0.023 19.434 0.074  0.000 -9.000 -27.364
000139.42+152624.1 1.7897 18.889 0.024 18.751 0.015 18.469 0.019 18.103 0.018 18.192 0.031 -1.000 -9.000 -27.092
000139.64-103824.1 1.8206 19.722 0.046 19.723 0.023 19.653 0.024 19.284 0.022 19.441 0.079  0.000 -9.000 -25.940
000139.83-003713.5 1.8331 19.459 0.040 19.408 0.034 19.475 0.023 19.234 0.029 19.221 0.057  0.000 -9.000 -26.010
000141.43+002356.3 0.9347 19.289 0.035 19.031 0.024 18.865 0.015 18.943 0.027 18.890 0.051  0.000 -9.000 -24.685
000143.31-104448.8 1.3405 19.585 0.039 19.568 0.020 19.269 0.021 19.244 0.023 19.285 0.070  0.000 -9.000 -25.260
000143.41+152021.4 2.6382 19.843 0.038 19.233 0.017 19.028 0.016 18.947 0.019 18.857 0.050 -1.000 -9.000 -27.128
000149.33+005731.6 1.2049 20.672 0.086 20.474 0.036 20.193 0.030 20.251 0.043 20.183 0.152  0.000 -9.000 -23.976
000149.52-100251.7 0.3577 19.259 0.038 19.214 0.036 19.101 0.023 19.041 0.035 18.489 0.043  0.000 -9.000 -22.279
000154.89-002209.0 1.1661 19.343 0.034 19.209 0.022 19.011 0.022 19.002 0.021 19.057 0.055  0.000 -9.000 -25.161
000159.12-094712.5 2.3084 19.835 0.043 19.323 0.025 19.275 0.025 19.167 0.023 18.904 0.060  0.000 -9.000 -26.606
000159.56+135933.4 1.2721 19.503 0.029 19.341 0.017 19.086 0.018 19.068 0.022 19.131 0.053 -1.000 -9.000 -25.367
000201.99+004540.5 1.4364 19.695 0.042 19.455 0.023 19.164 0.031 19.054 0.021 19.139 0.050  0.000 -9.000 -25.592
000202.33-002648.4 2.2124 20.822 0.103 20.435 0.028 20.174 0.033 20.093 0.034 19.871 0.091  0.000 -9.000 -25.564
000205.45-104936.9 0.9299 18.134 0.025 17.927 0.022 17.820 0.025 17.921 0.021 17.781 0.029  0.000 -9.000 -25.707
000208.83-001742.6 0.6519 19.191 0.031 18.928 0.022 18.832 0.022 18.702 0.019 18.732 0.043  0.000 -9.000 -24.049
000209.05+000552.8 2.1463 21.078 0.156 21.146 0.043 21.176 0.056 20.893 0.064 20.682 0.251  0.000 -9.000 -24.691
000210.11-005730.9 1.9629 20.136 0.049 20.201 0.025 20.204 0.028 20.145 0.041 19.965 0.108  0.000 -9.000 -25.247
000212.07-005309.1 2.2124 20.233 0.053 19.698 0.020 19.507 0.021 19.462 0.028 19.351 0.065  0.000 -9.000 -26.202
000215.09-002358.8 1.4496 20.706 0.080 20.497 0.039 20.347 0.035 20.262 0.039 20.421 0.174  0.000 -9.000 -24.416
000216.62+134916.3 1.2716 19.484 0.035 19.391 0.025 18.925 0.015 18.881 0.023 18.978 0.047 -1.000 -9.000 -25.556
000219.11+002232.9 0.5470 20.404 0.067 19.741 0.023 19.556 0.025 19.222 0.022 19.152 0.062  0.000 -9.000 -23.102
