SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
114316.98+132400.8 2.5143 19.487 0.039 18.911 0.020 18.827 0.022 18.777 0.019 18.563 0.034  0.000 -9.000 -27.171
114317.13+142431.0 3.7742 24.123 0.627 20.234 0.023 19.174 0.031 19.066 0.034 18.971 0.045  0.000 -9.000 -27.800
114318.32+563342.5 0.8131 19.646 0.049 19.353 0.034 19.115 0.036 19.068 0.025 18.820 0.049  0.000 -9.000 -24.174
114319.02+342647.0 1.5200 19.709 0.033 19.322 0.028 18.957 0.022 18.741 0.026 18.626 0.037  0.000 -9.000 -26.025
114319.53+031711.2 0.6959 19.032 0.025 18.773 0.027 18.807 0.017 18.761 0.018 18.694 0.042  0.000 -1.780 -24.125
114319.62+021146.1 0.4503 18.816 0.024 18.617 0.035 18.712 0.020 18.594 0.017 18.455 0.035  0.000 -1.305 -23.242
114319.98+043951.4 2.5224 19.640 0.049 19.030 0.042 18.885 0.021 18.851 0.034 18.741 0.060  0.000 -9.000 -27.079
114320.48+095241.1 0.5036 19.470 0.030 19.055 0.016 19.036 0.016 18.825 0.017 18.823 0.042  0.000 -9.000 -23.320
114320.73+403202.0 1.8937 20.353 0.068 20.390 0.028 20.443 0.033 20.175 0.034 20.377 0.118  0.000 -9.000 -25.092
114321.43+144310.9 2.0157 19.510 0.034 19.169 0.021 18.978 0.021 18.824 0.020 18.625 0.029  0.000 -9.000 -26.643
114321.76-002941.4 0.8038 19.410 0.029 19.156 0.018 19.137 0.019 19.304 0.020 19.011 0.041  0.000 -9.000 -23.932
114322.20+504440.8 1.1725 19.166 0.025 19.024 0.027 18.846 0.015 18.929 0.017 19.055 0.043  0.000 -9.000 -25.215
114322.99+674017.8 1.6297 20.652 0.069 20.121 0.026 19.638 0.022 19.110 0.021 19.030 0.051 -1.000 -9.000 -25.800
114323.07+311347.7 0.3670 19.252 0.028 19.182 0.022 19.123 0.018 19.077 0.024 18.582 0.033  0.000 -9.000 -22.265
114323.40+402211.8 0.7041 20.100 0.039 19.821 0.022 19.832 0.021 19.835 0.026 19.598 0.060  0.000 -9.000 -23.070
114323.44+132542.0 2.5150 19.399 0.038 18.797 0.020 18.733 0.022 18.696 0.019 18.475 0.032  0.000 -9.000 -27.252
114323.82+312010.9 1.7754 20.220 0.063 20.300 0.028 20.243 0.032 20.034 0.035 19.845 0.100  0.000 -9.000 -25.099
114324.96-003614.5 1.3194 20.219 0.045 20.193 0.022 19.962 0.024 19.950 0.028 20.049 0.093  0.000 -9.000 -24.479
114325.53+335747.4 1.6798 20.253 0.057 19.580 0.032 19.127 0.018 18.700 0.018 18.475 0.029  0.000 -9.000 -26.300
114327.21+431145.9 0.3050 17.408 0.024 17.462 0.023 17.436 0.017 17.492 0.013 16.968 0.022  0.000 -1.303 -23.393
114327.30+021433.2 1.7615 20.159 0.050 19.695 0.037 19.449 0.023 19.039 0.020 19.058 0.055  0.000 -9.000 -26.076
114327.69+613611.2 0.4004 19.645 0.036 19.279 0.014 19.190 0.017 19.102 0.026 18.656 0.038  0.000 -9.000 -22.452
114328.31+373250.0 2.2570 20.003 0.050 19.365 0.015 19.250 0.024 19.076 0.022 18.809 0.044  0.000 -9.000 -26.604
114328.84+372812.8 1.2944 19.334 0.034 19.210 0.014 19.048 0.023 19.000 0.022 19.058 0.054  0.000 -9.000 -25.385
114330.25+121128.1 1.5257 18.956 0.038 18.570 0.020 18.356 0.028 18.088 0.033 18.092 0.029  0.000 -9.000 -26.733
114330.96+032036.0 0.4881 19.514 0.034 19.120 0.020 19.010 0.017 18.845 0.023 18.723 0.045  0.000 -1.198 -23.180
114331.03+445155.3 0.6715 19.404 0.044 19.006 0.021 19.016 0.019 19.030 0.021 19.014 0.052  0.000 -9.000 -23.774
114331.12+325453.1 1.5183 20.115 0.045 19.858 0.020 19.737 0.032 19.527 0.022 19.540 0.060  0.000 -9.000 -25.237
114331.58+315731.1 0.8707 20.193 0.052 19.709 0.017 19.769 0.023 19.912 0.032 19.740 0.100  0.000 -9.000 -23.520
114332.19+110521.4 3.0335 21.919 0.243 19.524 0.028 19.281 0.022 19.298 0.028 19.359 0.084  0.000 -9.000 -27.070
114332.35+102813.0 1.0057 19.285 0.028 19.012 0.020 18.764 0.018 18.848 0.023 18.850 0.037  0.000 -9.000 -25.035
114333.62+013709.0 1.5547 19.884 0.036 19.495 0.023 19.376 0.017 19.101 0.022 19.094 0.058  0.000 -9.000 -25.720
114333.99+425329.6 2.9496 22.054 0.172 20.375 0.030 20.186 0.029 20.176 0.035 20.033 0.074  0.000 -9.000 -26.105
114335.36-002942.3 0.1715 18.272 0.020 18.131 0.016 17.680 0.016 17.127 0.014 17.288 0.018  0.000 -9.000 -22.413
114335.52+382303.3 1.1944 19.095 0.033 19.047 0.031 18.867 0.015 18.814 0.028 18.937 0.043  0.000 -9.000 -25.382
114335.91+114150.1 1.5077 19.745 0.056 19.506 0.017 19.234 0.022 18.957 0.020 18.950 0.047  0.000 -9.000 -25.822
114335.93+364319.4 1.4283 20.204 0.059 19.980 0.029 19.919 0.030 19.827 0.028 19.864 0.080  0.000 -9.000 -24.787
114336.03+105421.7 0.6094 19.616 0.044 19.276 0.029 19.241 0.019 19.065 0.027 19.103 0.052  0.000 -9.000 -23.538
114336.19+401350.0 1.9819 20.313 0.050 20.222 0.021 20.088 0.032 19.895 0.028 19.684 0.064  0.000 -9.000 -25.477
114336.29+482543.0 0.6248 18.229 0.016 17.868 0.025 17.981 0.014 17.859 0.016 18.006 0.025 16.158 -1.720 -24.773
114337.18+004610.8 2.1361 20.710 0.051 20.154 0.024 20.016 0.025 19.681 0.030 19.411 0.054  0.000 -9.000 -25.888
114337.26+014137.9 1.4606 18.574 0.023 18.533 0.021 18.287 0.015 18.138 0.017 18.165 0.029  0.000 -9.000 -26.535
114338.06+362712.3 1.3995 19.142 0.031 18.933 0.022 18.472 0.017 18.317 0.019 18.276 0.029 15.830 -9.000 -26.250
114338.92+375423.3 1.5536 20.793 0.082 20.461 0.026 20.495 0.041 20.280 0.046 20.302 0.107  0.000 -9.000 -24.541
114339.39+314158.5 0.7412 18.997 0.029 18.760 0.021 18.816 0.029 18.966 0.020 18.824 0.044  0.000 -9.000 -24.079
114339.86+073105.7 1.3065 18.317 0.018 18.009 0.016 17.654 0.017 17.643 0.023 17.584 0.023  0.000 -9.000 -26.784
114340.95+520303.3 1.8164 18.509 0.032 17.995 0.030 17.394 0.041 17.031 0.030 17.033 0.022  0.000 -9.000 -28.147
114341.61+663331.1 2.3276 20.258 0.053 19.469 0.022 19.173 0.020 18.824 0.023 18.381 0.033 -1.000 -9.000 -26.906
114341.69+432839.6 2.1751 19.626 0.034 19.194 0.037 19.083 0.016 19.095 0.023 19.008 0.042  0.000 -9.000 -26.493
114341.96+375109.4 1.8118 20.394 0.063 20.377 0.025 20.410 0.040 20.166 0.043 20.210 0.100  0.000 -9.000 -25.013
114342.05+310243.4 1.0150 19.373 0.031 19.237 0.021 19.023 0.015 19.116 0.020 19.217 0.062  0.000 -9.000 -24.694
114342.73+452009.4 1.2772 18.412 0.047 18.311 0.022 18.124 0.017 18.170 0.018 18.356 0.027  0.000 -9.000 -26.191
114343.06+674455.5 0.7948 17.162 0.017 17.002 0.019 17.002 0.015 17.043 0.014 16.962 0.022 -1.000 -1.082 -26.151
114343.71+565505.7 1.7728 19.129 0.034 19.138 0.023 19.122 0.016 18.816 0.033 18.889 0.043  0.000 -9.000 -26.285
114344.82+034729.6 1.6801 19.380 0.038 18.845 0.027 18.571 0.020 18.218 0.031 18.140 0.038  0.000 -9.000 -26.776
114345.58+071706.8 1.2236 19.388 0.033 19.473 0.020 19.189 0.018 19.145 0.023 19.237 0.049  0.000 -9.000 -25.121
114345.79+652607.1 1.8157 19.787 0.037 19.888 0.021 19.949 0.031 19.524 0.032 19.466 0.067 -1.000 -9.000 -25.635
114346.19+642350.2 3.2029 22.096 0.170 19.407 0.015 19.119 0.014 19.253 0.021 19.125 0.048 -1.000 -9.000 -27.229
114346.24+404521.0 1.2766 19.883 0.039 19.911 0.026 19.843 0.024 19.894 0.028 19.833 0.079  0.000 -9.000 -24.443
114347.04+390837.7 0.8130 19.659 0.032 19.323 0.020 19.232 0.014 19.382 0.019 19.302 0.047  0.000 -9.000 -23.893
114347.11-005448.7 0.5177 19.240 0.023 18.924 0.029 19.062 0.019 18.897 0.021 18.837 0.038  0.000 -9.000 -23.271
114347.71+112847.9 0.1206 17.304 0.024 17.223 0.027 17.071 0.025 16.724 0.019 16.819 0.028 16.035 -1.338 -22.043
114347.88+375647.4 0.9564 20.689 0.076 20.478 0.026 20.369 0.039 20.341 0.047 20.260 0.101  0.000 -9.000 -23.322
114348.02+495724.2 4.0276 24.721 0.807 21.635 0.057 20.349 0.032 20.234 0.031 20.230 0.117  0.000 -9.000 -26.720
114348.89+045753.7 1.2290 19.496 0.050 19.282 0.032 19.057 0.019 19.022 0.028 19.198 0.088  0.000 -9.000 -25.246
114349.05+140003.3 1.8139 19.313 0.028 19.221 0.022 19.233 0.030 18.971 0.019 18.850 0.039  0.000 -9.000 -26.255
114350.03+093729.0 1.1295 19.379 0.035 19.236 0.022 18.990 0.022 19.139 0.017 19.277 0.055  0.000 -9.000 -24.954
114350.17+615525.5 2.9859 25.147 0.989 20.512 0.028 20.159 0.028 19.966 0.039 19.648 0.097  0.000 -9.000 -26.347
114350.30+362911.3 2.3460 17.971 0.019 17.388 0.021 17.313 0.023 17.243 0.011 17.105 0.024  0.000 -9.000 -28.520
114350.36+145703.2 0.6453 19.724 0.030 19.239 0.018 19.119 0.024 18.937 0.028 18.857 0.044 14.006 -9.000 -23.817
114350.74+101507.6 0.4686 19.552 0.038 19.213 0.015 19.232 0.021 18.916 0.020 18.615 0.045  0.000 -9.000 -23.115
114351.50+342211.3 2.0515 19.296 0.029 19.336 0.019 19.211 0.019 19.034 0.026 18.799 0.039  0.000 -9.000 -26.428
114351.53+630650.9 0.9736 19.704 0.039 19.722 0.029 19.735 0.027 19.811 0.039 19.574 0.082  0.000 -9.000 -23.895
114351.58+153709.3 1.4145 18.023 0.015 17.906 0.020 17.691 0.012 17.615 0.034 17.641 0.022  0.000 -9.000 -27.015
114352.17+440818.7 1.7811 19.605 0.039 19.471 0.024 19.453 0.016 19.151 0.025 19.155 0.048  0.000 -9.000 -25.992
114352.73+395825.4 1.5560 19.967 0.043 19.781 0.021 19.677 0.022 19.398 0.025 19.411 0.069  0.000 -9.000 -25.416
114352.89+154746.0 1.2667 19.463 0.040 19.397 0.019 19.017 0.026 19.047 0.018 19.016 0.050  0.000 -9.000 -25.318
114353.80+060208.1 1.8164 19.449 0.042 19.278 0.022 19.345 0.015 19.142 0.019 19.090 0.041  0.000 -9.000 -26.039
114354.03+011343.1 1.2757 17.634 0.015 17.408 0.017 17.238 0.016 17.229 0.012 17.208 0.018 16.027 -9.000 -27.121
114354.54+021137.3 1.3441 19.495 0.034 19.417 0.020 19.143 0.022 19.051 0.022 19.051 0.057  0.000 -9.000 -25.432
114354.71+543328.9 1.8397 19.332 0.044 19.246 0.023 19.196 0.023 18.972 0.029 18.902 0.046  0.000 -9.000 -26.221
114354.81+541623.1 2.8714 21.395 0.118 19.154 0.020 18.870 0.020 18.478 0.019 18.186 0.033 15.837 -9.000 -27.717
114355.07+492230.9 3.3151 22.002 0.227 20.273 0.032 20.068 0.025 20.097 0.038 19.993 0.114 13.055 -9.000 -26.431
114355.47-023838.2 1.3959 18.143 0.017 18.081 0.011 17.881 0.014 17.788 0.019 17.833 0.019  0.000 -9.000 -26.776
114355.71+084330.3 0.6745 19.586 0.040 19.090 0.020 18.961 0.020 19.028 0.019 18.975 0.038  0.000 -1.392 -23.784
114356.36+093438.4 2.3456 19.551 0.037 18.997 0.022 18.810 0.022 18.859 0.016 18.700 0.040  0.000 -9.000 -26.935
114357.82+063011.5 2.1954 19.897 0.039 19.457 0.023 19.304 0.025 19.120 0.018 18.878 0.038  0.000 -9.000 -26.496
114358.12+531012.1 1.8790 19.127 0.032 19.226 0.023 19.172 0.018 18.877 0.017 18.856 0.038  0.000 -9.000 -26.372
114358.46+513707.6 1.6822 19.448 0.033 19.404 0.040 19.367 0.022 19.096 0.032 19.142 0.051  0.000 -9.000 -25.893
114358.52+052444.9 2.5610 17.738 0.059 17.080 0.032 16.940 0.036 16.913 0.027 16.824 0.033  0.000 -9.000 -29.052
114358.88+340632.5 2.1000 19.947 0.045 19.339 0.022 18.823 0.022 18.563 0.016 18.450 0.031  0.000 -9.000 -26.951
114359.36+515023.4 1.3623 19.222 0.027 19.176 0.029 19.081 0.016 19.118 0.022 19.157 0.048  0.000 -9.000 -25.376
114400.27+454407.2 0.3567 19.127 0.031 18.954 0.024 18.778 0.016 18.684 0.017 18.177 0.026  0.000 -9.000 -22.597
114400.46+125832.5 3.8693 23.923 1.043 20.401 0.026 19.294 0.019 19.215 0.027 19.162 0.056  0.000 -9.000 -27.687
114400.48+000918.1 1.4588 18.886 0.030 18.753 0.029 18.645 0.041 18.449 0.024 18.472 0.042  0.000 -9.000 -26.235
114401.43+342325.0 1.8570 18.687 0.030 18.755 0.017 18.696 0.023 18.317 0.024 18.346 0.030  0.000 -9.000 -26.915
114402.09+013027.5 1.8818 19.710 0.033 19.801 0.025 19.772 0.020 19.229 0.023 19.114 0.060  0.000 -9.000 -26.032
114402.67-001451.9 1.4508 19.020 0.027 18.831 0.035 18.653 0.031 18.512 0.035 18.397 0.043  0.000 -9.000 -26.148
114402.73+554507.7 3.2061 24.927 1.237 20.785 0.034 20.298 0.029 20.078 0.035 20.053 0.107  0.000 -9.000 -26.366
114403.06+104721.8 2.2084 19.755 0.046 19.306 0.029 19.326 0.020 19.187 0.027 18.988 0.053  0.000 -9.000 -26.495
114404.23+014557.7 1.8310 19.295 0.031 19.055 0.030 18.974 0.018 18.720 0.020 18.611 0.039  0.000 -9.000 -26.486
114404.79+034316.0 3.1039 25.534 1.066 20.271 0.044 20.008 0.030 19.995 0.053 20.020 0.159  0.000 -9.000 -26.395
114404.80+071205.4 0.4979 18.465 0.025 18.106 0.018 18.082 0.016 17.923 0.021 17.916 0.024  0.000 -1.651 -24.161
114404.88+101010.8 2.3615 20.035 0.054 19.250 0.015 19.181 0.021 19.053 0.019 18.671 0.046  0.000 -9.000 -26.841
114405.35+460405.8 0.4451 19.013 0.022 18.665 0.038 18.762 0.022 18.611 0.018 18.425 0.029  0.000 -9.000 -23.196
114406.43+563041.3 3.2727 22.169 0.334 19.725 0.030 19.212 0.018 19.151 0.028 19.081 0.048  0.000 -9.000 -27.333
114407.25+382941.3 1.7011 20.430 0.055 20.142 0.027 20.109 0.024 19.825 0.028 19.742 0.071  0.000 -9.000 -25.208
114407.29+021038.7 0.2161 17.603 0.018 17.565 0.017 17.514 0.020 17.118 0.018 17.311 0.021  0.000 -1.170 -22.970
114408.22+490134.1 3.6002 25.645 0.602 21.059 0.045 20.223 0.032 20.053 0.028 20.214 0.103  0.000 -9.000 -26.659
114408.28+025331.9 1.2759 19.170 0.028 19.191 0.024 18.912 0.020 18.843 0.017 18.928 0.051 11.805 -9.000 -25.517
114408.37+125406.6 1.6797 18.519 0.033 18.273 0.016 18.151 0.015 17.847 0.020 17.869 0.034  0.000 -9.000 -27.179
114408.55+020221.2 1.6389 19.475 0.033 19.186 0.017 19.182 0.019 19.043 0.018 19.008 0.051  0.000 -9.000 -25.900
114408.81+532412.4 2.1314 18.973 0.031 18.821 0.094 18.608 0.017 18.611 0.028 18.582 0.033  0.000 -9.000 -26.920
114408.90+424357.5 0.2725 17.877 0.037 17.848 0.014 17.784 0.020 17.837 0.014 17.422 0.025  0.000 -1.188 -22.795
114409.54+074909.6 2.0848 19.755 0.049 19.503 0.017 19.339 0.021 19.132 0.020 19.022 0.048  0.000 -9.000 -26.371
114410.06+321506.9 2.2860 19.633 0.045 19.256 0.025 19.164 0.022 19.116 0.025 19.027 0.063  0.000 -9.000 -26.591
114410.13+001813.7 1.7920 18.611 0.019 18.676 0.023 18.808 0.022 18.574 0.020 18.644 0.036  0.000 -9.000 -26.587
114410.13+515849.7 0.2915 19.054 0.035 18.973 0.031 18.442 0.042 18.692 0.031 17.931 0.027  0.000 -1.330 -22.091
114410.54+500523.7 1.2409 18.252 0.023 18.253 0.027 18.228 0.016 18.299 0.022 18.324 0.030  0.000 -9.000 -25.979
114411.34+140543.5 0.4854 18.429 0.017 18.171 0.017 18.273 0.027 18.115 0.019 17.986 0.026  0.000 -9.000 -23.943
114411.92+083524.7 1.7586 19.262 0.033 19.018 0.017 18.869 0.022 18.483 0.016 18.412 0.032 16.058 -9.000 -26.623
114412.44+354335.9 0.9495 19.220 0.032 18.713 0.017 18.437 0.050 18.405 0.014 18.247 0.024  0.000 -9.000 -25.232
114412.46-013454.6 1.3942 16.978 0.033 16.908 0.017 16.758 0.020 16.695 0.021 16.748 0.023  0.000 -9.000 -27.862
114412.77+315800.8 3.2350 22.960 0.504 19.126 0.022 18.564 0.020 18.324 0.016 18.198 0.033  0.000 -9.000 -28.158
114413.78+385918.1 0.7463 18.522 0.018 18.313 0.023 18.360 0.017 18.522 0.020 18.441 0.030  0.000 -9.000 -24.544
114415.18+392744.0 1.2751 20.502 0.049 20.365 0.026 20.039 0.021 20.145 0.031 20.245 0.110  0.000 -9.000 -24.198
114415.50+452445.2 1.8820 19.445 0.052 19.253 0.024 19.261 0.019 19.113 0.021 18.966 0.039  0.000 -9.000 -26.160
114416.03+035352.5 1.5690 19.397 0.026 19.199 0.047 19.276 0.024 19.075 0.020 18.961 0.040  0.000 -9.000 -25.762
114416.75+110013.2 1.6066 19.525 0.040 19.267 0.028 19.326 0.022 19.008 0.022 18.982 0.056  0.000 -9.000 -25.919
114417.78+104345.9 0.6786 18.911 0.031 18.331 0.031 18.245 0.027 18.220 0.019 18.071 0.033  0.000 -9.000 -24.692
114418.26+031544.2 0.8876 19.105 0.036 18.910 0.027 18.859 0.017 18.952 0.022 18.860 0.047  0.000 -9.000 -24.526
114418.29+310243.1 1.5417 19.360 0.031 19.132 0.021 19.003 0.018 18.766 0.019 18.922 0.049  0.000 -9.000 -26.041
114418.78+355535.2 1.5351 19.146 0.022 18.983 0.026 18.760 0.026 18.611 0.014 18.718 0.042  0.000 -9.000 -26.173
114418.85+385825.2 0.7771 19.605 0.034 19.323 0.024 19.349 0.020 19.299 0.023 19.138 0.044  0.000 -9.000 -23.864
114420.04+421422.7 1.5781 18.783 0.027 18.521 0.021 18.355 0.027 18.115 0.018 18.144 0.028  0.000 -9.000 -26.755
114420.31+113500.8 0.2712 17.969 0.027 16.950 0.015 16.157 0.023 16.031 0.013 15.569 0.014 15.432 -9.000 -24.623
114420.57+044515.8 2.0548 19.468 0.029 19.215 0.021 19.107 0.015 18.871 0.018 18.655 0.028  0.000 -9.000 -26.603
114421.23+032413.2 1.0856 19.319 0.035 19.131 0.020 18.927 0.021 18.941 0.024 19.074 0.066  0.000 -9.000 -25.022
114422.27+353313.3 1.5541 19.505 0.031 19.260 0.024 19.153 0.019 18.945 0.021 19.039 0.044  0.000 -9.000 -25.868
114423.16+632930.7 1.7995 19.786 0.033 19.597 0.020 19.599 0.019 19.408 0.025 19.430 0.067  0.000 -9.000 -25.769
114423.27+674953.8 4.4309 26.052 0.565 23.080 0.233 20.814 0.046 20.441 0.048 20.011 0.120 -1.000 -9.000 -26.699
114423.36+362531.6 2.8341 21.370 0.113 20.260 0.027 20.103 0.031 20.138 0.030 20.128 0.106 14.755 -9.000 -26.049
114423.53+011716.5 1.7611 18.355 0.015 18.236 0.038 18.218 0.021 18.059 0.012 18.143 0.031  0.000 -9.000 -27.050
114424.25+675210.2 0.6091 19.568 0.035 19.107 0.033 19.033 0.024 18.824 0.017 18.921 0.053 -1.000 -1.700 -23.720
114425.58+313547.9 0.5516 19.862 0.041 19.293 0.024 19.070 0.021 18.800 0.017 18.609 0.037  0.000 -9.000 -23.529
114426.18+614830.3 1.7231 19.016 0.034 18.836 0.016 18.780 0.023 18.555 0.019 18.627 0.044  0.000 -9.000 -26.506
114426.59+322439.3 1.1723 19.635 0.036 19.085 0.022 18.862 0.013 18.917 0.015 19.014 0.053  0.000 -9.000 -25.231
114426.64+501403.6 2.8886 22.271 0.283 20.214 0.033 19.904 0.025 19.739 0.032 19.725 0.087  0.000 -9.000 -26.487
114426.83+100638.1 0.6855 19.597 0.042 19.271 0.015 19.310 0.023 19.188 0.024 19.136 0.067  0.000 -9.000 -23.739
114427.29+411613.9 2.9738 21.924 0.154 20.465 0.033 20.235 0.032 20.188 0.034 20.381 0.117  0.000 -9.000 -26.097
114429.02+322122.4 1.7196 20.283 0.068 20.168 0.026 20.135 0.029 19.808 0.035 19.813 0.116  0.000 -9.000 -25.245
114430.36+423710.1 2.0377 18.969 0.040 18.756 0.015 18.661 0.021 18.502 0.016 18.376 0.032  0.000 -9.000 -26.954
114431.01+475701.1 0.8436 19.387 0.034 19.135 0.024 19.024 0.023 19.045 0.032 18.943 0.047  0.000 -9.000 -24.311
114431.40+145347.3 0.9824 19.576 0.033 19.355 0.015 19.048 0.025 19.086 0.027 18.980 0.047  0.000 -9.000 -24.685
114433.07+394322.9 0.9065 20.014 0.044 19.573 0.016 19.446 0.024 19.509 0.023 19.205 0.054 11.747 -9.000 -24.015
114433.22+134401.2 1.3605 18.849 0.027 18.694 0.019 18.406 0.018 18.299 0.022 18.379 0.035  0.000 -9.000 -26.256
114433.66+601538.8 0.7564 19.711 0.038 19.093 0.057 18.950 0.019 18.906 0.026 18.692 0.045 15.322 -9.000 -24.176
114434.29+155304.8 1.3032 19.316 0.030 19.191 0.021 18.912 0.014 18.819 0.035 18.890 0.034  0.000 -9.000 -25.617
114434.46+431931.2 3.8302 24.552 1.126 22.179 0.079 20.166 0.028 19.578 0.022 19.046 0.041  0.000 -9.000 -27.262
114434.59+363218.6 1.4328 18.969 0.032 18.789 0.026 18.700 0.016 18.682 0.023 18.834 0.039  0.000 -9.000 -25.940
114434.60+510317.8 3.9094 26.001 0.924 21.186 0.044 20.296 0.026 20.136 0.036 19.811 0.078  0.000 -9.000 -26.749
114435.09+434628.3 1.2800 19.268 0.029 19.287 0.027 18.999 0.020 19.027 0.020 19.146 0.050  0.000 -9.000 -25.327
114435.62+463757.4 0.6625 17.810 0.016 17.393 0.030 17.278 0.013 17.056 0.021 17.133 0.021  0.000 -9.000 -25.716
114436.34+464232.8 0.3988 19.004 0.026 18.724 0.031 18.852 0.016 18.713 0.023 18.228 0.032  0.000 -9.000 -22.829
114436.65+095904.9 3.1505 21.328 0.115 18.734 0.020 18.332 0.018 18.172 0.016 18.029 0.028 13.629 -9.000 -28.300
114437.04+653751.0 2.1218 18.816 0.027 18.617 0.019 18.510 0.020 18.410 0.015 18.129 0.029 -1.000 -9.000 -27.107
114437.85+424452.1 1.4706 18.555 0.033 18.487 0.026 18.071 0.016 17.937 0.015 17.994 0.023  0.000 -1.368 -26.759
114438.66+624833.0 0.3092 19.400 0.031 19.287 0.023 18.900 0.025 18.712 0.022 18.360 0.034  0.000 -9.000 -22.204
114439.70+045149.7 1.9045 21.274 0.088 20.416 0.027 19.620 0.017 19.123 0.019 18.786 0.030 14.258 -9.000 -26.171
114440.30+012143.8 2.4280 19.369 0.027 18.714 0.039 18.668 0.021 18.572 0.014 18.263 0.034  0.000 -9.000 -27.269
114440.70+642134.9 0.5448 19.367 0.024 18.998 0.013 18.859 0.015 18.644 0.017 18.762 0.038 -1.000 -9.000 -23.660
114441.11+434449.2 1.6400 19.166 0.038 19.007 0.019 18.933 0.014 18.724 0.028 18.757 0.038  0.000 -9.000 -26.216
114442.26+402327.4 1.8400 20.505 0.050 20.490 0.023 20.518 0.031 20.219 0.033 20.064 0.086  0.000 -9.000 -24.979
114442.35+093601.2 1.6283 18.664 0.024 18.519 0.026 18.507 0.019 18.330 0.020 18.442 0.033  0.000 -9.000 -26.626
114443.12+112402.6 1.2042 18.663 0.023 18.579 0.021 18.380 0.030 18.356 0.019 18.579 0.039  0.000 -9.000 -25.879
114443.42+612452.6 1.4896 19.439 0.036 19.341 0.027 19.132 0.022 18.955 0.025 18.868 0.051 15.472 -9.000 -25.777
114443.49+315247.5 1.7875 20.003 0.050 19.817 0.024 19.808 0.025 19.581 0.025 19.580 0.086  0.000 -9.000 -25.565
114443.69+350539.6 0.6036 19.043 0.026 18.791 0.028 18.867 0.020 18.781 0.018 18.928 0.043  0.000 -9.000 -23.757
114444.61+490517.3 1.7938 18.450 0.044 18.302 0.035 18.455 0.025 18.309 0.018 18.326 0.031  0.000 -9.000 -26.838
114444.63+071443.7 0.9194 18.388 0.027 18.221 0.017 18.069 0.017 18.130 0.020 17.982 0.026  0.000 -9.000 -25.430
114445.44+090226.6 1.7830 20.106 0.049 19.576 0.023 18.880 0.014 18.359 0.015 18.047 0.031  0.000 -9.000 -26.790
114445.66+383832.6 0.5912 19.035 0.021 18.659 0.017 18.738 0.019 18.624 0.029 18.726 0.035  0.000 -9.000 -23.868
114445.86+405153.2 1.2659 18.842 0.022 18.789 0.018 18.578 0.028 18.618 0.018 18.696 0.032  0.000 -9.000 -25.702
114445.93+055053.8 1.5957 18.535 0.025 18.164 0.050 18.292 0.032 18.065 0.031 18.158 0.037  0.000 -9.000 -26.812
114446.27+681006.7 0.7258 19.938 0.047 19.298 0.033 19.297 0.023 19.198 0.023 18.829 0.051 -1.000 -9.000 -23.769
114446.93+323937.9 1.6147 20.514 0.066 20.265 0.026 20.212 0.030 20.022 0.041 20.054 0.113  0.000 -9.000 -24.885
114447.65+370434.6 3.9645 25.005 1.004 21.566 0.055 19.848 0.026 19.411 0.022 19.383 0.055  0.000 -9.000 -27.509
114447.66+103442.9 1.5639 18.937 0.024 18.614 0.017 18.398 0.016 18.161 0.017 18.207 0.031  0.000 -9.000 -26.800
114447.95+322058.9 1.5983 20.550 0.081 20.358 0.027 20.319 0.033 20.292 0.046 20.278 0.174  0.000 -9.000 -24.590
114448.46+410633.1 1.3048 19.700 0.031 19.489 0.025 19.254 0.033 19.304 0.021 19.458 0.058  0.000 -9.000 -25.086
114448.54+055709.8 4.7904 24.803 1.758 25.604 0.699 21.584 0.112 20.189 0.063 20.319 0.209  0.000 -9.000 -27.133
114449.29+474537.7 1.9608 18.606 0.023 18.464 0.016 18.387 0.016 18.217 0.019 18.051 0.022  0.000 -9.000 -27.146
114449.33+032751.8 2.0983 17.858 0.025 17.726 0.018 17.436 0.019 17.111 0.019 16.937 0.032  0.000 -9.000 -28.405
114450.17+440016.6 1.8076 18.537 0.030 18.385 0.028 18.359 0.025 18.181 0.037 18.109 0.033  0.000 -9.000 -26.994
114450.20+502609.3 0.2508 17.839 0.019 17.780 0.022 17.600 0.015 17.496 0.016 17.277 0.018 16.317 -9.000 -22.931
114450.41+583144.8 2.0810 19.653 0.035 19.555 0.033 19.532 0.018 19.282 0.023 18.995 0.054  0.000 -9.000 -26.194
114452.61+083125.3 0.7259 20.012 0.047 19.737 0.044 19.724 0.023 19.789 0.026 19.532 0.065  0.000 -9.000 -23.200
114452.81+560334.4 1.9714 19.784 0.043 19.736 0.035 19.776 0.026 19.619 0.030 19.410 0.064  0.000 -9.000 -25.733
114452.89+393645.3 0.9817 19.257 0.025 19.130 0.017 18.993 0.020 19.104 0.024 19.087 0.044  0.000 -9.000 -24.618
114454.01+331500.1 0.5712 19.399 0.031 19.006 0.019 19.173 0.023 19.044 0.024 19.087 0.051 12.417 -9.000 -23.360
114454.23+145453.2 1.4352 18.702 0.021 18.527 0.011 18.455 0.067 18.358 0.018 18.363 0.030  0.000 -9.000 -26.309
